image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;  CRjpeg;  CRgif;FC;SE;NPO;  MIGh; MIGs; MIGv ;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
44;Pineapple slices;Universal;8;Natural;Sweet;Raw;Food;0.6203;4.9257;64.7287;0.0432;0.3585;0.9804;0.5241;0.0010;0.3384;0.1168;3.039;2.2242;0.2500;0.0249;0.0862;0.0847;0.4181;1435;70.8740;0.4271;0.3888;0.1841;64.99;25.16;60.55;30.11;73.06;20.87;61.32;21.12;56.19;27.92;51.18;32.98;60.54;26.83;57.42;21.56;72.64;20.93;73.37;24.48;76.03;20.2;67.94;16.31;58.64;30.59;52.71;34.91;61.54;31.28;62.65;23.04
45;Pineapple parts;Universal;Complex;Natural;Sweet;Raw;Food;0.5823;4.7685;64.6783;0.0371;0.4075;0.9836;0.5000;0.0010;0.3242;0.1104;2.877;2.2116;0.3083;0.0252;0.0743;0.0814;0.3891;1444;76.5450;0.4460;0.3972;0.1568;67.26;22.91;69.17;24.21;73.58;20.66;58.43;21.69;57.56;26.12;57.11;27.16;58.26;28.3;57.26;23.13;78.29;16.73;80.53;16.27;81.13;16.83;72.91;16.25;62.36;28.09;59.86;29.85;64.18;29.92;62.94;24.58
46;Pink cookies ;Western;4;Transformed;Sweet;;Food;0.3914;4.8623;66.3394;0.0441;0.3830;0.9802;0.4661;0.0010;0.3232;0.1001;2.879;2.0403;0.2000;0.0422;0.0651;0.1037;0.3813;1727;47.4924;0.4609;0.2899;0.2491;48.94;26.58;51.66;25.66;57.25;25.5;36.63;25.2;44.67;25.68;44;25.52;49.44;26.33;40.43;25.2;21.18;18.43;19.95;19.37;23.69;19.67;20.07;16.03;34.99;27.52;37.39;29.13;40.81;27.92;25.73;23.15
47;Pink cookies, overlay;Western;4;Transformed;Sweet;;Food;0.3309;4.7573;66.4565;0.0430;0.3709;0.9807;0.4310;0.0010;0.3179;0.0985;2.804;1.9643;0.1983;0.0363;0.0601;0.0782;0.3556;2010;44.7501;0.4668;0.2881;0.2451;55.97;24.85;65;24.99;59.57;18.33;41.23;24.32;53.29;23.85;55.49;25.82;54.1;23.97;49.77;21.47;21.27;15.46;18.86;15.06;20.77;13.08;24.73;17.85;42.71;29.49;52.22;30.73;39.87;26.22;33.83;28.52
48;Pistache nuts;Universal;Complex;Natural;Savory;;Food;0.3764;4.8717;70.6559;0.1028;0.3497;0.9645;0.4426;0.0010;0.3685;0.1159;2.890;2.6336;0.2383;0.0719;0.0927;0.1214;0.6023;2129;37.4313;0.4354;0.3479;0.2166;57.54;26.18;62.82;25.21;59.83;26.03;49.94;26.22;46.69;27.86;47.79;28.45;49.07;29.81;42.94;25.25;67.36;20.61;61.76;24.18;70.05;17.53;69.58;19.72;52.33;32.01;56.97;32.19;55.12;33.43;44.78;29.63
49;Sandwiches;Western;2;Transformed;Savory;;Food;0.3226;4.8432;71.0921;0.0956;0.3531;0.9644;0.4136;0.0010;0.3645;0.1093;2.877;2.4023;0.1700;0.0747;0.0849;0.1493;0.5434;2198;32.3013;0.4210;0.3389;0.2401;48.06;28.29;49.65;29.87;55;28.4;39.16;24.87;45.11;29.72;39.48;29.96;50.76;30.22;44.56;28.76;38.59;21.36;37.9;17.9;41.15;23.21;36.53;22.73;44.72;33.2;44.19;36.16;48.82;35.83;40.88;27.32
50;Sandwiches, overlay;Western;2;Transformed;Savory;;Food;0.2551;4.6947;68.9687;0.0652;0.3641;0.9736;0.3912;0.0010;0.3326;0.0992;2.702;2.1872;0.2000;0.0673;0.0662;0.1316;0.4196;2429;31.4641;0.4286;0.3333;0.2381;48.33;26.58;48.97;27.48;56.37;25.82;39.09;24.11;43.7;26.37;41.44;26.71;47.14;29.59;42.52;22.54;36.23;19.92;33.17;17.46;39.77;20.64;35.82;21.62;41.52;31.6;40.53;31.46;50.83;35.28;32.73;25.15
51;Sausage roll;Western;2;Transformed;Savory;;Food;0.3450;4.7444;65.1366;0.0395;0.3372;0.9825;0.4441;0.0010;0.3181;0.1015;2.884;2.0075;0.1867;0.0476;0.0601;0.0737;0.3340;1349;60.6164;0.5209;0.3727;0.1064;54.24;26.05;57.69;27.99;57.06;25.48;47.64;23.85;46.51;27.75;49.22;29.06;49.52;30.28;40.55;23.13;27.52;21.19;24.03;20.81;26.24;19.69;32.61;22.66;49.31;32.23;54.92;33.91;47;33.18;45.52;29.41
52;Sausage roll, overlay;Western;2;Transformed;Savory;;Food;0.2758;4.6629;64.5462;0.0330;0.3583;0.9856;0.4421;0.0010;0.2973;0.0973;2.751;1.9537;0.2233;0.0486;0.0485;0.0626;0.2835;1391;53.2986;0.5121;0.3694;0.1185;53.92;21.23;58.29;24.34;47.68;20;55.97;17.63;45.36;24.81;48.35;29.99;39.29;23.92;48.74;18.12;24.53;15;19.62;12.26;23.68;16.12;30.84;14.64;47.13;29.13;51.68;32.67;41.94;28.33;47.84;25.69
53;Tomato + parts;Universal;2;Natural;Savory;Raw;Food;0.2403;4.4723;65.6560;0.0325;0.3450;0.9865;0.4538;0.0010;0.2809;0.0805;2.493;1.9071;0.2383;0.0287;0.0369;0.0928;0.2398;2373;57.7879;0.6723;0.2130;0.1147;68.78;23.74;65.63;29.49;73.21;21.82;66.47;19.48;59.02;26.66;53.2;32.09;63.53;25.22;59.13;22.12;87.48;12.39;93.23;7.28;84.58;14.99;85.53;11.24;56.75;31.26;53.9;34.75;59.84;31.77;55.75;27.66
54;Tomatoes;Universal;4;Natural;Savory;Raw;Food;0.2194;4.4056;64.6696;0.0265;0.3467;0.9891;0.4420;0.0011;0.2647;0.0780;2.431;1.8270;0.2783;0.0315;0.0313;0.0643;0.2251;1926;52.1404;0.6898;0.2043;0.1058;67.35;21.4;68.85;21.06;69.86;22;63.26;21.16;56.88;26.14;57.41;24.49;58.09;28.38;55.12;26.01;83.86;14.37;89.62;10.06;79.66;17.6;82.44;12.77;50.27;29.87;48.41;28.49;46.09;33.15;56.44;27.45
55;Tomatoes + cucumber parts;Universal;Complex;Natural;Savory;Raw;Food;0.3530;4.9711;67.8681;0.0628;0.3215;0.9747;0.4852;0.0010;0.3418;0.1061;2.775;2.2873;0.3650;0.0425;0.0824;0.1099;0.4853;3747;51.8936;0.4894;0.3376;0.1730;63.44;23.18;68.19;25.18;66.98;20.92;55.46;22.91;50.88;26.19;51.58;29.2;52.89;28.04;47.83;21.5;82.42;17.76;90.08;8.93;83.84;14.69;74.94;22.98;55.22;29.83;54.19;30.75;55.27;31.7;55.91;27.45
56;Waffles;Western;2;Transformed;Sweet;;Food;0.3452;4.7454;67.2598;0.0597;0.3048;0.9735;0.4734;0.0010;0.3446;0.1017;2.886;2.0958;0.3117;0.0449;0.0694;0.0991;0.4456;1685;54.7975;0.5693;0.3256;0.1051;69.53;20.71;68.1;22.46;71.76;17.56;68.62;22.32;59.94;24.33;56.77;25.46;60.64;26.34;62.06;21.58;27.61;18.47;19.87;17.74;28.03;18.48;34.03;16.97;59.58;26.54;49.77;30.61;63.21;23.91;64.71;23.3
57;Walnuts;Universal;Complex;Natural;Savory;;Food;0.2818;4.7213;70.1843;0.0836;0.3330;0.9670;0.4271;0.0010;0.3491;0.1092;2.881;2.4458;0.2850;0.0637;0.0905;0.1232;0.5538;1617;40.6325;0.4808;0.3529;0.1663;52.81;23;56.5;26.71;51.9;21.75;50.85;21.44;42.77;22.98;48.86;25.46;37.1;21.35;44.44;21.78;68.16;22.66;72.71;19.61;70.85;21.48;61.24;25.21;48.56;26.78;47.07;26.07;48.5;28.57;49.85;25.91
58;White grapes;Universal;1;Natural;Sweet;Raw;Food;0.3998;4.8048;65.3730;0.0401;0.2908;0.9826;0.4903;0.0010;0.3097;0.0958;2.700;1.9702;0.3517;0.0267;0.0731;0.0737;0.3377;1496;42.1761;0.4502;0.4237;0.1261;65.93;22.11;57.97;27.86;74.26;17.44;67.43;14.87;55.06;26.81;48;29;60.84;26.78;57.8;23.05;77.04;20.05;78.56;19.87;80.16;20.3;72.57;19.8;61.61;28.69;51.69;33.95;72.42;24.66;63.09;21.73
59;White grapes, washed;Universal;1;Natural;Sweet;Raw;Food;0.3877;4.8284;65.3806;0.0395;0.2934;0.9827;0.4652;0.0010;0.3092;0.1010;2.728;1.9706;0.3400;0.0290;0.0723;0.0717;0.3307;1482;42.3128;0.4519;0.4257;0.1224;63.5;24.56;64.47;24.48;72.86;21.76;52.89;23.79;54.61;27.07;55.67;31.1;56.95;27.58;51.17;22.18;76.76;19.46;82.94;14.78;83.51;15.11;63.64;21.23;60.09;29.5;59.36;34.51;66.32;29.09;54.42;23.42
60;Pancake with bacon ;Western;1;Transformed;Savory;;Food;0.4211;4.7302;69.0386;0.0735;0.3242;0.9675;0.4567;0.0010;0.3662;0.1115;2.965;2.2488;0.2167;0.0537;0.0964;0.1298;0.5028;1776;55.1682;0.4871;0.3588;0.1541;45.9;23.01;52.74;19.51;47.89;24.16;36.23;22.04;40.98;23.23;46.06;22.8;40.64;25.04;36.39;20.51;31.96;20.29;29.97;21.35;33.09;21.37;32.35;18;40.33;28.02;46.32;28.21;39.05;29.83;36.16;24.87
