image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
187;Watermelon parts;Universal;4;Natural;Sweet;Raw;Food;63.24.00;149.00.00;176.37.00;6.25;57.05.00;163.50.00;75.52.00;0.10;52.08.00;16.03;13.44;159.23.00;43.03.00;5.16;8.35;13.54;52.05.00;3051;94.30.00;83.45.00;49.41.00;33.14.00;72.18.00;24.32.00;73.21.00;23.28;79.41.00;21.24;65.31.00;25.9;60.59.00;27.36.00;63.35.00;26.45.00;66.14.00;28.25.00;53.24.00;25.38.00;81.22.00;17.21;88.16.00;9.55;84.06.00;14.15;70.15.00;20.24;64.37.00;30.36.00;63.41.00;30.03.00;73.14.00;30.38.00;56.31.00;28.44.00
188;Watermelon slices;Universal;4;Natural;Sweet;Raw;Food;82.29.00;163.02.00;73.00.00;7.05;53.45.00;163.29.00;78.47.00;0.10;54.30.00;16.43;15.51;160.12.00;39.43.00;5.53;10.55;15.57;53.34.00;3028;104.11.00;83.25.00;50.20.00;32.54.00;70.27.00;25.14.00;75.27.00;19.9;78.25.00;21.35;57.24.00;29.35.00;59.23.00;27.48.00;60.48.00;28.12.00;66.29.00;27.28.00;50.53.00;26;79.49.00;18.6;86.9;13.37;82.58.00;15.39;69.24.00;22.39;66.28.00;28.28.00;66.26.00;27.35.00;74.22.00;22.32;57.38.00;33.38.00
189;Melon + parts;Universal;Complex;Natural;Sweet;Very molded;Food;76.38.00;166.18.00;176.31.00;12.46;52.18.00;161.21.00;73.37.00;0.10;62.23.00;18.19;17.54;74.34.00;51.07.00;12.53;17.30;23.52;87.57.00;2249;123.52.00;74.15.00;57.37.00;34.48.00;9.49;14.31;12.18;20.42;10.09;11.49;6.37;7.15;15.36;22.56;18.31;26.53.00;10.02;12.26;19.34;26.11.00;21.04;23.37;28.18.00;27.14.00;22;22.39;11.13;15.29;7.55;15;10.3;21.11;7.34;13.22;5.29;7.53
190;Banana + parts;Universal;Complex;Natural;Sweet;Very molded;Food;65.17.00;168.15.00;166.33.00;16.07;52.55.00;160.10.00;78.07.00;0.09;65.34.00;19.09;17.18;108.40.00;60.17.00;15.06;19.10;23.08;102.24.00;1850;189.24.00;69.22.00;57.28.00;39.50.00;5.15;10.27;2.5;4.32;6.27;13.14;5.06;11.28;11.02;22.15;10.03;24.36.00;11.05;20.53;11;23.21;8.5;19.06;7.33;19.05;12.18;23.27;6.37;12.09;4.06;10.46;2.33;4.29;4.7;12.31;5.26;12.06
191;Carpaccio;Western;Complex;Transformed;Savory;Molded;Food;42.40.00;139.23.00;200.30.00;14.06;51.50.00;161.14.00;69.57.00;0.11;59.18.00;17.16;14.37;64.30.00;62.13.00;9.22;17.45;21.09;88.47.00;2471;167.07.00;70.29.00;60.33.00;35.38.00;26.09.00;24.27.00;23.34;24.46.00;26.18.00;26.33.00;27.9;22.16;24.11.00;23.41;22.23;24.04.00;24.18.00;25.33.00;26.37.00;21.06;36.04.00;23.07;38.13.00;26.17.00;35.08.00;21.3;35.6;22.43;17.12;21.23;15.19;20.7;14.03;20.31;22.2;22.52
192;Mixed olives and feta;Western;Complex;Transformed;Savory;Molded;Food;22.57;100.09.00;198.46.00;13.55;56.00.00;162.03.00;64.48.00;0.10;55.52.00;17.03;12.31;58.46.00;53.03.00;11.43;16.15;17.27;76.12.00;1366;138.39.00;70.22.00;58.16.00;38.03.00;20.36;22.9;23.26;25.19.00;19.31;22.8;19.08;21.02;22.58;25.34.00;17.11;22.27;28.47.00;29.52.00;23.14;23.17;32.18.00;26.12.00;34.31.00;26.14.00;33.53.00;27.7;29.14.00;24.28.00;18.13;24.07.00;16.49;24.38.00;18.15;26.09.00;19.08;23.05
193;sesame grinding bowl;;1;;;;Nonfood;36.34.00;133.54.00;158.37.00;8.55;58.59.00;162.55.00;63.32.00;0.11;53.29.00;15.35;8.34;17.45;30.33.00;9.54;9.53;19.42;54.12.00;1643;149.06.00;73.31.00;56.31.00;36.38.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;splittable wooden chopsticks;;2;;;;Nonfood;11.40;33.42.00;228.20.00;4.27;71.29.00;165.13.00;66.02.00;0.11;41.15.00;10.57;2.53;12.28;25.50.00;9.42;2.58;10.42;32.41.00;1533;34.10.00;55.53.00;59.23.00;51.24.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Japanese art chopsticks;;4;;;;Nonfood;14.52;62.13.00;70.44.00;5.57;63.47.00;164.25.00;58.50.00;0.11;45.22.00;12.42;9.45;160.09.00;30.50.00;8.34;8.42;9.34;42.54.00;1334;160.55.00;90.41.00;42.44.00;33.15.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;sushiroller;;1;;;;Nonfood;27.09.00;94.19.00;66.26.00;3.44;64.29.00;165.15.00;40.23.00;0.13;42.04.00;12.27;13.38;77.19.00;43.03.00;9.32;7.29;17.25;30.05.00;1354;53.56.00;70.32.00;57.54.00;38.14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;Pritt glue;;4;;;;Nonfood;31.34.00;86.28.00;191.13.00;9.18;57.01.00;163.39.00;66.45.00;0.10;49.18.00;13.13;5.29;40.52.00;47.47.00;9.19;9.01;14.18;64.39.00;4830;183.18.00;99.39.00;38.54.00;28.07.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Post-it's;;3;;;;Nonfood;23.47;54.17.00;223.38.00;2.56;66.58.00;165.34.00;64.06.00;0.11;41.02.00;11.05;8.45;141.47.00;35.17.00;6.59;3.00;10.40;30.05.00;2704;60.43.00;75.24.00;47.52.00;43.24.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Big paperclips;;Complex;;;;Nonfood;44.43.00;115.16.00;78.33.00;28.27.00;53.52.00;157.40.00;62.01.00;0.10;65.31.00;20.33;14.20;152.14.00;24.10.00;13.27;5.45;32.09.00;110.38.00;901;103.01.00;57.35.00;55.49.00;53.15.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Small paperclips;;Complex;;;;Nonfood;14.44;53.50.00;170.15.00;10.49;65.30.00;163.01.00;44.53.00;0.10;50.07.00;11.52;6.09;118.17.00;53.03.00;14.06;9.14;18.36;81.56.00;7227;57.26.00;65.22.00;54.11.00;47.06.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;Rubber bands;;Complex;;;;Nonfood;46.42.00;146.40.00;119.34.00;14.03;52.51.00;160.49.00;78.56.00;0.10;62.49.00;20.28;3.02;19.27;46.07.00;15.49;19.37;25.47.00;124.45.00;1348;161.42.00;84.27.00;56.39.00;25.34.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Push pins;;Complex;;;;Nonfood;42.31.00;132.17.00;88.27.00;29.24.00;55.12.00;159.08.00;62.43.00;0.10;62.35.00;17.08;11.20;68.46.00;60.33.00;17.35;17.43;25.30.00;142.36.00;4508;68.02.00;64.10.00;57.56.00;44.34.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Scissors;;2;;;;Nonfood;13.40;68.03.00;135.02.00;4.55;65.02.00;164.50.00;57.35.00;0.11;43.29.00;13.46;8.31;24.02.00;38.37.00;7.59;4.28;12.50;32.54.00;1055;57.30.00;61.54.00;56.07.00;48.39.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Stanley knifes;;3;;;;Nonfood;27.44.00;90.26.00;144.31.00;6.07;59.54.00;164.21.00;67.31.00;0.11;47.09.00;12.06;10.59;37.53.00;33.03.00;10.44;9.08;12.26;51.37.00;4759;154.44.00;72.40.00;50.16.00;43.44.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Stapler;;1;;;;Nonfood;27.03.00;41.14.00;167.10.00;3.12;62.00.00;165.30.00;61.44.00;0.11;38.26.00;11.50;8.45;147.41.00;33.20.00;5.44;3.13;7.31;21.00;739;108.26.00;44.18.00;57.44.00;64.38.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;Mixed highlighters;;4;;;;Nonfood;19.47;74.15.00;222.10.00;8.24;61.13.00;164.17.00;71.49.00;0.11;46.42.00;12.47;4.40;20.23;37.47.00;8.27;6.57;14.00;58.44.00;3798;163.52.00;44.47.00;67.58.00;53.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Blue highlighters, random arrangement;;5;;;;Nonfood;30.16.00;107.30.00;185.59.00;10.38;61.04.00;163.16.00;69.21.00;0.11;50.18.00;15.18;10.49;36.08.00;39.27.00;8.06;9.32;18.37;63.24.00;1965;88.00.00;35.16.00;55.19.00;76.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Blue highlighters, row arrangement;;5;;;;Nonfood;26.57.00;79.45.00;137.55.00;11.40;63.37.00;163.45.00;67.10.00;0.11;46.21.00;12.33;8.50;36.00.00;38.53.00;8.00;7.58;16.28;57.56.00;1602;139.23.00;34.45.00;54.19.00;77.36.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Green highlighters, random arrangement;;5;;;;Nonfood;32.35.00;88.38.00;207.14.00;6.21;55.14.00;164.22.00;67.57.00;0.11;45.40.00;14.20;8.22;10.16;39.43.00;8.30;6.29;10.16;57.19.00;1928;123.17.00;22.03;100.33.00;44.04.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Green highlighters, row arrangement;;5;;;;Nonfood;24.42.00;71.04.00;224.52.00;8.16;57.51.00;163.53.00;76.41.00;0.11;45.16.00;12.44;7.40;11.47;36.23.00;7.27;5.44;9.10;57.59.00;1496;105.55.00;25.55.00;94.32.00;46.14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Yellow highlighters, random arrangement;;5;;;;Nonfood;28.02.00;88.28.00;187.01.00;10.20;63.43.00;164.07.00;68.16.00;0.11;48.22.00;15.16;6.00;39.52.00;40.50.00;7.46;9.15;14.11;68.16.00;1352;81.13.00;69.59.00;77.04.00;19.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Yellow highlighters, row arrangement;;5;;;;Nonfood;25.14.00;54.37.00;178.34.00;9.58;64.01.00;164.30.00;75.43.00;0.11;45.18.00;13.47;5.16;27.39.00;39.10.00;7.08;7.25;12.37;53.03.00;1111;191.10.00;69.33.00;76.45.00;20.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Purple highlighters, random arrangement;;5;;;;Nonfood;41.08.00;59.37.00;192.53.00;9.00;54.19.00;163.44.00;57.31.00;0.12;48.05.00;13.23;7.09;19.28;45.17.00;11.51;8.36;11.45;61.24.00;1186;141.36.00;52.10.00;44.17.00;70.13.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Purple highlighters, row arrangement;;5;;;;Nonfood;37.47.00;39.41.00;180.39.00;9.06;56.50.00;164.11.00;72.47.00;0.11;45.30.00;12.31;5.41;162.03.00;40.33.00;8.25;5.39;9.24;54.54.00;1314;50.43.00;49.49.00;40.43.00;76.07.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Shoarma roll;Asian;2;Transformed;Savory;;Food;25.03.00;72.59.00;174.13.00;5.37;62.21.00;164.18.00;72.48.00;0.10;46.36.00;13.52;10.57;143.45.00;36.57.00;6.34;6.02;9.06;40.30.00;1347;60.58.00;87.00.00;58.47.00;20.54;48.24.00;26.36.00;39.06.00;23.34;52.46.00;27.36.00;52.18.00;27.14.00;44.16.00;26.36.00;39.03.00;24.3;47.15.00;27.25.00;45.16.00;26.34.00;29.07.00;18.32;27.38.00;15.27;22.37;18.57;38;17.06;41.04.00;30.18.00;31.52.00;28.24.00;42.35.00;31.45.00;47.31.00;29.14.00
216;Calculator;;1;;;;Nonfood;38.21.00;79.01.00;197.54.00;9.48;57.06.00;164.09.00;63.49.00;0.11;45.24.00;14.42;9.33;2.25;47.13.00;8.31;6.27;13.01;43.43.00;1093;159.09.00;54.39.00;53.04.00;58.58.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;Fish art;;1;;;;Nonfood;20.10;68.31.00;162.14.00;5.16;68.22.00;164.51.00;75.56.00;0.10;44.14.00;13.01;5.36;33.05.00;40.33.00;6.00;6.21;13.09;43.27.00;2793;163.24.00;72.44.00;70.29.00;23.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;Chinese doll;;1;;;;Nonfood;6.15;24.19.00;157.03.00;3.26;69.17.00;165.27.00;74.51.00;0.11;39.26.00;11.28;4.52;131.16.00;40.17.00;6.32;2.46;8.52;26.04.00;2023;91.51.00;79.45.00;56.02.00;30.53.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;Handcuffs;;1;;;;Nonfood;17.23;39.56.00;78.11.00;6.21;65.31.00;164.38.00;69.35.00;0.11;43.00.00;13.45;6.49;163.06.00;26.57.00;6.46;4.01;12.35;34.32.00;738;44.07.00;59.31.00;55.25.00;51.43.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Fake gun;;1;;;;Nonfood;15.11;89.00.00;124.10.00;7.50;64.08.00;164.01.00;66.43.00;0.10;46.12.00;15.14;4.51;21.46;25.33.00;8.10;3.23;15.19;38.18.00;748;57.39.00;58.47.00;55.19.00;52.34.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Colored tapes;;1;;;;Nonfood;16.50;48.44.00;91.45.00;3.01;70.51.00;165.29.00;76.10.00;0.10;40.22.00;11.13;7.12;139.36.00;39.10.00;7.07;2.27;11.36;28.09.00;2819;127.41.00;63.31.00;57.53.00;45.16.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;Geo triangle;;1;;;;Nonfood;18.02;35.23.00;120.13.00;3.56;73.01.00;165.23.00;58.18.00;0.11;40.28.00;13.35;10.28;158.49.00;24.10.00;7.37;0.36;6.24;25.04.00;328;167.51.00;55.26.00;55.12.00;56.01.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Black tape;;1;;;;Nonfood;26.15.00;93.09.00;113.37.00;8.00;60.39.00;163.29.00;65.36.00;0.11;46.50.00;15.43;8.29;5.54;37.30.00;8.50;3.59;10.29;41.42.00;940;132.15.00;57.53.00;55.47.00;53.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Adhesive tape;;1;;;;Nonfood;40.25.00;116.59.00;136.42.00;3.34;64.47.00;165.21.00;66.45.00;0.12;41.13.00;12.43;9.45;154.00.00;34.10.00;6.01;4.08;10.56;25.51.00;1120;118.36.00;61.57.00;59.22.00;45.21.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Colored pens, random arrangement;;6;;;;Nonfood;26.14.00;121.56.00;201.43.00;9.30;60.53.00;163.52.00;70.05.00;0.11;48.53.00;11.59;10.11;104.02.00;44.27.00;12.20;8.03;18.14;52.32.00;6018;70.03.00;63.00.00;51.26.00;52.14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Colored pens, row arrangement;;6;;;;Nonfood;19.14;89.11.00;123.56.00;10.25;64.36.00;163.56.00;69.58.00;0.11;46.37.00;13.19;7.26;15.17;46.23.00;8.23;3.43;12.09;55.31.00;4109;151.34.00;60.32.00;52.20.00;53.48.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Crostini;Western;1;Transformed;Savory;Molded;Food;27.24.00;69.57.00;121.39.00;6.37;64.36.00;163.57.00;73.28.00;0.10;47.59.00;13.40;11.05;167.08.00;27.30.00;7.46;7.09;14.39;45.54.00;1559;129.43.00;72.33.00;57.41.00;36.26.00;15.22;20.48;14.7;21.57;19.22;23.08;10.12;16.37;24.16.00;28.59.00;17.13;25.02.00;31.18.00;31.12.00;22.12;28.29.00;19.4;22.49;19.23;22.4;22.47;24.06.00;16.21;21.47;12.24;20.33;11.6;21.03;17.21;24.52.00;7.04;10.11
228;Screwdriver;;1;;;;Nonfood;7.56;34.54.00;129.02.00;3.18;70.38.00;165.28.00;66.56.00;0.11;40.13.00;11.15;5.20;149.09.00;28.53.00;6.23;1.43;11.49;25.32.00;1789;30.29.00;103.41.00;35.07.00;27.52.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Permanent markers, random arrangement;;4;;;;Nonfood;16.37;109.28.00;203.01.00;15.26;63.15.00;162.57.00;65.47.00;0.10;50.31.00;14.34;5.07;69.42.00;39.43.00;13.02;5.27;16.10;71.10.00;2879;128.01.00;62.45.00;50.59.00;52.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Permanent markers, row arrangement;;4;;;;Nonfood;14.39;81.09.00;125.42.00;15.40;64.12.00;163.30.00;69.23.00;0.10;47.06.00;13.00;4.39;38.08.00;36.07.00;11.44;4.56;14.34;66.03.00;3029;144.22.00;58.50.00;51.59.00;55.51.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Cube, pyramid, sphere, random arrangement;;6;;;;Nonfood;15.34;73.59.00;151.58.00;4.07;62.59.00;165.04.00;72.54.00;0.11;41.51.00;12.32;7.29;152.35.00;40.33.00;7.05;5.18;13.47;36.37.00;3828;91.30.00;77.03.00;52.00.00;37.36.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Cube, pyramid, sphere, vertical arrangement;;6;;;;Nonfood;30.23.00;26.44.00;135.05.00;4.29;62.13.00;164.59.00;65.09.00;0.11;40.54.00;11.04;6.59;142.57.00;41.57.00;7.25;4.12;11.00;36.00.00;2852;139.32.00;65.33.00;45.20.00;55.47.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Cube, pyramid, sphere, horizontal arrangement;;6;;;;Nonfood;28.14.00;45.48.00;160.46.00;4.03;62.41.00;165.11.00;69.28.00;0.11;40.47.00;11.39;5.55;146.42.00;37.13.00;6.23;4.15;9.26;33.55.00;3308;148.26.00;73.55.00;49.42.00;43.03.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Buses and trucks, random arrangement;;3;;;;Nonfood;23.24;95.55.00;122.46.00;9.36;62.23.00;163.50.00;61.21.00;0.11;46.46.00;13.20;6.58;29.08.00;41.07.00;9.56;6.52;13.00;51.05.00;3399;116.25.00;66.15.00;61.37.00;38.48.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;Buses and trucks, row arrangement;;3;;;;Nonfood;17.02;64.22.00;72.02.00;6.04;66.21.00;164.48.00;57.35.00;0.11;42.09.00;12.42;5.29;161.01.00;34.43.00;7.42;4.05;9.13;35.02.00;2190;64.20.00;69.06.00;61.31.00;36.03.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Lego blocks, random arrangement;;6;;;;Nonfood;27.08.00;74.59.00;87.33.00;5.56;59.49.00;164.32.00;69.17.00;0.10;45.24.00;10.21;9.18;18.37;44.27.00;7.41;6.25;10.44;50.42.00;4199;169.17.00;65.50.00;63.39.00;37.12.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Lego blocks, stacked;;6;;;;Nonfood;24.10.00;67.25.00;230.36.00;4.21;62.58.00;165.03.00;76.25.00;0.10;42.55.00;12.02;7.13;165.57.00;43.03.00;6.39;4.50;9.31;41.48.00;3716;87.31.00;64.31.00;74.33.00;27.36.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Nespresso coffee cups;Universal;9;Transformed;;;Food;26.08.00;99.23.00;184.56.00;8.09;61.49.00;163.57.00;67.13.00;0.10;46.41.00;14.42;4.32;9.33;37.13.00;6.57;4.29;15.21;42.13.00;865;104.40.00;62.56.00;53.39.00;50.06.00;33.13.00;22.25;37.33.00;24.39.00;31.25.00;23.04;32.25.00;18.11;29.41.00;24.15.00;35.23.00;29.38.00;24.53.00;23.5;30.37.00;19.39;28.27.00;21.7;32.09.00;22.21;24.11.00;25.04.00;29.01.00;17.39;27.02.00;28.43.00;33.19.00;32.38.00;24.37.00;31.6;24.09.00;20.17
239;Teabags;Universal;6;Transformed;;;Food;29.58.00;74.48.00;187.57.00;6.47;65.04.00;163.50.00;64.12.00;0.10;48.25.00;15.19;11.23;164.54.00;21.23;8.10;3.10;14.39;38.20.00;567;46.28.00;59.15.00;55.58.00;51.27.00;40.19.00;28.23.00;36.34.00;27.47.00;53.07.00;28.21.00;32.37.00;24.39.00;30.06.00;26.39.00;26.42.00;25.5;34.09.00;29.39.00;30.07.00;23.28;56.7;27.32.00;52.28.00;28.01.00;64.18.00;25.9;54.03.00;28.04.00;36.22.00;32.38.00;30;32.11.00;50.15.00;33.07.00;28.52.00;27.54.00
240;Cream-cake;Western;1;Transformed;Sweet;;Food;29.40.00;106.59.00;197.10.00;5.28;62.23.00;164.27.00;72.01.00;0.10;48.08.00;13.47;9.58;21.33;39.27.00;7.41;6.30;13.24;49.28.00;3321;37.38.00;65.05.00;58.47.00;42.47.00;64.49.00;23.35;65.43.00;25.18.00;74.03.00;17.16;53.8;23.14;55.45.00;26.48.00;54.29.00;28.25.00;67.27.00;24.28.00;45.57.00;22.19;16.8;15.59;16.11;16.33;15;18.58;19.47;11.23;52.2;30.49.00;53.18.00;30.03.00;57.17.00;32.23.00;46.9;30.35.00
241;Carrero vertical;Western;2;Transformed;Savory;;Food;79.38.00;152.33.00;129.30.00;16.30;45.33.00;159.41.00;72.23.00;0.10;66.28.00;22.05;18.25;42.08.00;12.47;7.16;22.49;25.42.00;106.26.00;1396;112.23.00;90.43.00;51.52.00;24.06.00;31.59.00;22.2;33.28.00;21.16;36.03.00;25.5;25.26.00;19.51;27.54.00;21.29;26.03.00;20.33;28.21.00;23.11;30.14.00;20.06;28.22.00;16.33;28.2;17.51;30.53.00;14.17;24.52.00;17.1;21.52;20.02;23.18;22.24;23.56;21.04;17.29;16.28
242;Carrero horizontal;Western;1;Transformed;Savory;;Food;44.39.00;83.50.00;185.12.00;11.43;55.13.00;161.39.00;66.00.00;0.10;54.49.00;15.44;15.06;9.07;7.30;5.25;13.36;16.48;72.26.00;1162;150.45.00;91.28.00;51.51.00;23.21;33.16.00;23.09;35.1;24.11.00;34.23.00;22.51;29.28.00;22.08;33.14.00;24.37.00;31.19.00;25.17.00;32.37.00;23.21;36.31.00;25.26.00;27.11.00;18.41;27.01.00;16.11;27.6;21.38;27.06.00;17.9;30.16.00;27.34.00;31.32.00;30.46.00;28.37.00;26.27.00;30.15.00;25.12.00
243;Chocolate muffin;Western;3;Transformed;Sweet;;Food;36.14.00;55.51.00;215.40.00;10.13;56.40.00;162.37.00;65.14.00;0.10;51.54.00;14.55;9.57;161.24.00;37.13.00;6.37;12.10;22.45;59.20.00;1675;171.39.00;76.31.00;52.03.00;38.06.00;64.02.00;21.21;69.24.00;22.31;61.11.00;16.26;62.11.00;23.33;54.39.00;25.56.00;59.32.00;28.08.00;51.21.00;25.55.00;53.09.00;23.17;27.42.00;21.34;18;17.11;29.11.00;22.12;36.11.00;20.27;58.31.00;28.38.00;58.29.00;30.05.00;59.11.00;25.11.00;57.14.00;29.12.00
244;Chocolate + apple muffin;Western;3;Transformed;Sweet;;Food;24.54.00;80.12.00;187.13.00;8.20;56.30.00;163.26.00;72.48.00;0.10;51.17.00;14.10;10.43;158.34.00;31.57.00;7.31;11.31;15.49;53.56.00;1610;153.27.00;85.37.00;54.01.00;27.02.00;67.3;19.28;71.35.00;22.25;67;18.2;64.56.00;18.16;57.44.00;24.27.00;63.46.00;26.05.00;55.13.00;26.57.00;56.09.00;19.39;25.5;19.09;13.54;10.27;26.56.00;21.06;33.35.00;17.58;57.07.00;27.15.00;61.23.00;27;52.32.00;30.25.00;60.02.00;23.28
245;Tompouces, random arrangement;Western;4;Transformed;Sweet;;Food;44.57.00;95.37.00;103.15.00;4.34;71.36.00;164.48.00;66.30.00;0.10;45.14.00;13.51;11.45;3.04;37.30.00;7.04;6.29;13.02;41.47.00;2017;133.02.00;71.21.00;52.24.00;42.55.00;59.17.00;24.28.00;68.58.00;22.05;64.21.00;23.28;45.5;21.19;56.29.00;24.37.00;60.32.00;26.17.00;60.52.00;26.17.00;48;19.14;22;16.39;18.46;13.31;20.48;18.39;27.06.00;14.6;52.06.00;29.22.00;58.08.00;30.7;59.07.00;28.57.00;38.34.00;24.58.00
246;Tompouces, row arrangement;Western;4;Transformed;Sweet;;Food;41.05.00;90.40.00;178.54.00;4.26;71.54.00;164.58.00;56.31.00;0.10;43.50.00;12.27;11.00;167.15.00;33.03.00;6.26;5.11;12.22;36.45.00;2172;154.53.00;71.37.00;51.37.00;43.25.00;55.59.00;24.22.00;65.27.00;21.26;61.57.00;23.43;41.29.00;21.21;53.2;25.21.00;58.18.00;26.15.00;62.17.00;23.36;40.31.00;20.16;19.04;17.28;16.13;17.19;16.2;16.31;25.23.00;16.42;47.17.00;28.31.00;55.03.00;28.11.00;48.23.00;30.8;39.34.00;24.18.00
247;Croquettes, row arrangement;Western;4;Transformed;Savory;;Food;47.40.00;76.37.00;101.25.00;13.29;52.45.00;160.51.00;61.54.00;0.10;57.10.00;17.17;14.25;167.20.00;13.03;6.20;13.53;20.55;80.23.00;1466;180.33.00;98.58.00;53.00.00;14.42;44.34.00;22.39;47.16.00;24.07.00;49;22.05;36.34.00;19.33;40.08.00;25.4;39.29.00;26.13.00;43.12.00;28.54.00;37.09.00;22.35;25.21.00;19.01;28.26.00;20.36;20.12;16.27;27.06.00;18.49;33.29.00;27.12.00;36.08.00;29.06.00;37.25.00;28.6;26.5;21.14
248;Croquettes, random arrangement;Western;4;Transformed;Savory;;Food;54.37.00;100.28.00;172.27.00;12.48;50.53.00;161.03.00;71.30.00;0.11;58.57.00;18.14;14.55;4.14;13.20;6.46;14.55;19.25;78.54.00;1391;48.31.00;100.30.00;52.06.00;14.03;42.47.00;25.04.00;39.36.00;22.22;51.26.00;25.07.00;35.41.00;25.57.00;36.48.00;25.28.00;33.34.00;24.3;39.29.00;25.24.00;37.7;25.54.00;24.22.00;17.31;26.22.00;16.05;21.34;16.16;26.52.00;20.44;40.17.00;31.44.00;35.37.00;30.15.00;52.14.00;32.25.00;31;28.46.00
249;Croquettes, cut;Western;2;Transformed;Savory;;Food;23.24;41.59.00;187.01.00;7.27;62.59.00;163.43.00;67.39.00;0.10;47.45.00;13.36;9.07;148.32.00;28.03.00;5.42;7.25;10.35;48.55.00;1587;74.41.00;89.30.00;56.12.00;20.58;48.23.00;24.58.00;47.04.00;21.21;58.32.00;27.39.00;38.19.00;20.3;40.43.00;24.55.00;41.25.00;22.14;45.26.00;29.03.00;35.17.00;21.4;24.02.00;18.33;25.19.00;17.08;17.21;17.5;29.29.00;19.36;37.51.00;29.24.00;44.48.00;27.9;42.15.00;33.47.00;26.35.00;20.46
