image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
697;Borscht;Western;complex;Transformed;Savory;;Food;52.06.00;7.31;140.58.00;6.07;53.04.00;163.59.00;69.48.00;0.12;45.35.00;14.51;9.49;149.51.00;34.43.00;7.26;5.59;12.15;45.22.00;2116;189.46.00;72.34.00;52.25.00;41.41.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698;Pork with Beans;Western;complex;Transformed;Savory;;Food;57.09.00;169.39.00;83.10.00;8.02;54.52.00;163.35.00;62.18.00;0.12;46.57.00;15.27;9.47;156.35.00;36.57.00;5.36;7.14;15.02;50.42.00;1759;140.01.00;67.52.00;53.15.00;45.33.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;Tortilla;Western;2;Transformed;Savory;;Food;58.51.00;117.45.00;219.58.00;5.27;65.51.00;164.13.00;69.50.00;0.12;48.29.00;16.41;13.30;166.08.00;30.33.00;7.12;7.41;10.56;44.11.00;750;84.33.00;65.33.00;58.20.00;42.46.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;Tortilla wrap;Western;2;Transformed;Savory;;Food;30.35.00;131.17.00;178.07.00;8.28;54.14.00;163.34.00;69.56.00;0.13;48.48.00;14.13;8.55;20.03;43.20.00;5.42;9.22;16.54;55.10.00;2100;168.46.00;79.57.00;52.54.00;33.48.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;Tortilla wrap;Western;2;Transformed;Savory;;Food;28.48.00;120.25.00;108.40.00;10.07;53.51.00;163.05.00;61.50.00;0.13;50.19.00;14.41;8.20;16.43;46.57.00;6.19;9.46;14.13;60.08.00;2068;115.58.00;80.23.00;52.33.00;33.44.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
702;Szechuan pickles;Asian;3;Transformed;Savory;;Food;29.33.00;30.05.00;170.51.00;6.48;58.12.00;164.00.00;62.08.00;0.13;42.47.00;12.24;7.12;136.48.00;44.27.00;6.08;8.17;9.57;42.50.00;1218;171.11.00;87.09.00;53.45.00;25.45.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;Szechuan pickles;Asian;7;Transformed;Savory;;Food;41.03.00;86.22.00;83.02.00;5.45;53.51.00;164.16.00;62.53.00;0.13;43.59.00;13.14;9.11;143.18.00;46.07.00;6.58;9.22;13.17;43.30.00;1523;195.58.00;87.54.00;56.00.00;22.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;Okura curry;Asian;complex;Transformed;Savory;;Food;54.46.00;5.17;165.55.00;9.50;53.40.00;163.03.00;60.19.00;0.12;49.17.00;15.16;8.59;159.58.00;26.57.00;7.05;9.22;16.13;60.34.00;1736;136.32.00;66.02.00;55.13.00;45.25.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;Popeye and Cheese curry;Asian;complex;Transformed;Savory;;Food;52.32.00;20.25;190.24.00;10.43;53.53.00;162.29.00;66.16.00;0.12;52.39.00;16.22;11.28;6.44;34.43.00;8.27;13.55;17.06;67.15.00;1547;153.31.00;63.56.00;58.31.00;44.13.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
706;Yogurt curry;Asian;complex;Transformed;Savory;;Food;89.34.00;170.25.00;93.19.00;3.41;69.32.00;165.03.00;64.59.00;0.13;44.17.00;14.45;10.41;143.50.00;33.03.00;6.40;5.52;8.49;37.19.00;1356;131.34.00;69.54.00;63.10.00;33.35.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;Gnocchi;Western;complex;Transformed;Savory;;Food;44.07.00;87.52.00;121.33.00;4.32;61.15.00;164.47.00;53.08.00;0.12;43.33.00;12.53;10.53;148.00.00;37.47.00;6.00;6.12;9.57;37.04.00;1154;63.36.00;72.19.00;60.51.00;33.30.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
